,question,question_02,question_12,question_22,var_02,var_12,var_22,score,COMMON_VAR
21,Q1b Workg mom: pre school child suffers,Q1b Workg mom: pre school child suffers,Q1b Working mom: Preschool child is likely to suffer,Q1b Pre-school child is likely to suffer if mother works,v5,V6,v2,0.93,WW_CHILD_SUFFER
22,Q1a Working mom: warm relationship with children as a not working mom,Q1a Workg mom: warm relation child ok,Q1a Working mom: warm relationship with children as a not working mom,Q1a Working mom can establish as warm relationship as a not working mom,v4,V5,v1,0.958,WW_WARM
23,Q19f Division of household work: Preparing meals,Q8f Division of hh work: preparg the meal,Q19f Division of household work: Preparing meals,Q18f Division of household work: preparing meals,v35,V47,v44,0.968,DIV_HH_COOK
24,Q19e Division of household work: Household cleaning,Q8e Division of hh work: hh cleaning,Q19e Division of household work: Household cleaning,Q18e Division of household work: household cleaning,v34,V46,v43,0.973,DIV_HH_CLEAN
25,Q19d Division of household work: Shops for groceries,Q8d Division of hh work:shops f groceries,Q19d Division of household work: Shops for groceries,Q18d Division of household work: shops for groceries,v33,V45,v42,0.971,DIV_HH_GROC
26,Q19c Division of household work: Care for sick family members,Q8c Div. hh work:care f sick fam.members,Q19c Division of household work: Care for sick family members,Q18c Division of household work: care for sick family members,v32,V44,v41,0.983,DIV_HH_CARE
27,Q19a Division of household work: Doing the laundry,Q8a Division of hh work: doing the laundry,Q19a Division of household work: Doing the laundry,Q18a Division of household work: doing the laundry,v30,V42,v39,0.971,DIV_HH_LAUND
28,Q18 Sharing of income between partners,Q7 Organizing income in partnership,Q18 Sharing of income between partners,Q17 Sharing of income between partners,v29,V41,v38,0.961,code_income_control
29,"Q17b How many hours spouse, partner spends on family members",,"Q17b How many hours spouse, partner spends on family members","Q16b How many hrs spouse, partner spends on family members",,V40,v37,0.947,SP_HH_FAM
30,"Q17a How many hours spouse, partner works on household","Q9b How many hrs spouse,partner works on hh","Q17a How many hours spouse, partner works on household","Q16a How many hours spouse, partner works on household",v37,V39,v36,0.977,SP_HH
31,Q17 Life in general: how happy on the whole,Q17 Life in general: how happy on the whole,Q24 Life in general: How happy on the whole,Q26 Life in general: how happy on the whole,v52,V55,v56,0.919,LIFE_HAP
32,Q16d Difficult to concentrate at work,Q16d Difficult to concentrate at work,Q23d Difficult to concentrate at work,Q20d Difficult to concentrate at work,v51,V54,v49,0.921,DIFF_CONC_WORK
33,Q16c Too tired from hhwork to function i job,Q16c Too tired from hhwork to function i job,Q23c Too tired from hh work to function in job,Q20c Too tired from household work to function in job,v50,V53,v48,0.926,HH_TIRED
34,Q16b How many hours spend on family members,,Q16b How many hours spend on family members,Q15b How many hours spend on family members,,V38,v35,0.978,HH_FAM
35,Q16a Too tired from work to do duties at home,Q16a Too tired from work to do duties at home,Q23a Too tired from work to do duties at home,Q20a Too tired from work to do duties at home,v48,V51,v46,0.91,WORK_TIRED
36,Q16a How many hours spend on household work,Q9a How many hours do you spend on hh work,Q16a How many hours spend on household work,Q15a How many hours spend on household work,v36,V37,v34,0.976,hh_wrk_hrs
37,Q13a Final say: choosing weekend activities,Q13a Final say: choosing weekend activities,Q21 Final say: Choosing weekend activities,Q18b Division of household work: plan social/family activities,v41,V49,v40,0.98,HH_WEEKEND
38,Main status,R: Current employment status (WRKST),Main status,Main status,v239,MAINSTAT,MAINSTAT,1.0,work_status
39,Living in steady partnership,R: Steady life-partner (COHAB),Living in steady partnership,Living in steady partnership,v203,PARTLIV,PARTLIV,1.0,COHAB
40,Legal partnership status,R: Marital status (MARITAL),Legal partnership status,Legal partnership status,v202,MARITAL,MARITAL,1.0,marital
41,How many persons in household,How many persons in household (HOMPOP),How many persons in household,How many persons in household,v251,HOMPOP,HOMPOP,1.0,HOMPOP
42,Hours worked weekly,R: Hours worked weekly (WRKHRS),Hours worked weekly,Hours worked weekly,v240,WRKHRS,WRKHRS,1.0,wrk_hrs
43,Highest completed degree of education: Categories for international comparison,R: Education II-highest education level (DEGREE),Highest completed degree of education: Categories for international comparison,ISCED 2011 simplified: highest completed degree of education,v205,DEGREE,EDULEVEL,1.0,educ_4_label
44,Country/ Sample ISO 3166 Code (see V4 for codes for whole nation states),Country/ Sample (ISO 3166),Country/ Sample ISO 3166 Code (see V4 for codes for whole nation states),Country/ Sample ISO 3166 code (see country for codes for whole nation states),COUNTRY,V3,c_sample,0.992,COUNTRY
45,Age of respondent,R: Age (AGE),Age of respondent,Age of respondent,v201,AGE,AGE,1.0,age
46,Respondent ID,Respondent Number,ID Number of Respondent,ID Number of Respondent,v3,CASEID,CASEID,,CASEID
