question,question_02,question_12,question_22,2002,2012,2022,score
Q8d Division of hh work:shops f groceries,Q8d Division of hh work:shops f groceries,Q19d Division of household work: Shops for groceries,Q18d Division of household work: shops for groceries,V33,V45,v42,0.914
Q8e Division of hh work: hh cleaning,Q8e Division of hh work: hh cleaning,Q19e Division of household work: Household cleaning,Q18e Division of household work: household cleaning,V34,V46,v43,0.868
Q8f Division of hh work: preparg the meal,Q8f Division of hh work: preparg the meal,Q19f Division of household work: Preparing meals,NA,V35,V47,NA,0.805
Q10 Sharing of hh work between the partners,Q10 Sharing of hh work between the partners,Q20 Sharing of household work between partners,Q19 Sharing of household work between partners,V38,V48,v45,0.888
Q16a Too tired from work to do duties at home,Q16a Too tired from work to do duties at home,Q23a Too tired from work to do duties at home,Q20a Too tired from work to do duties at home,V48,V51,v46,0.963
Q16b Difficult to fulfil fam.responsibility,Q16b Difficult to fulfil fam.responsibility,Q23b Difficult to fulfill family responsibility,Q20b Difficult to fulfill family responsibilities,V49,V52,v47,0.906
Q16c Too tired from hhwork to function i job,Q16c Too tired from hhwork to function i job,Q23c Too tired from hh work to function in job,Q20c Too tired from household work to function in job,V50,V53,v48,0.903
Q1a Workg mom: warm relation child ok,Q1a Workg mom: warm relation child ok,NA,NA,V4,NA,NA,1.0
Q1c Workg woman: family life suffers,Q1c Workg woman: family life suffers,NA,NA,V6,NA,NA,1.0
Q1e Household satisfies as much as paid job,Q1e Household satisfies as much as paid job,NA,NA,V8,NA,NA,1.0
Q1f Work is best for women's independence,Q1f Work is best for women's independence,NA,NA,V9,NA,NA,1.0
"Q2b Men's job is work,women's job household","Q2b Men's job is work,women's job household",NA,NA,V11,NA,NA,1.0
Q2c Men should do larger share of hh work,Q2c Men should do larger share of hh work,NA,NA,V12,NA,NA,1.0
Q2d Men should do larger share of childcare,Q2d Men should do larger share of childcare,NA,NA,V13,NA,NA,1.0
Q11 How often disagree abt sharg of hh work,Q11 How often disagree abt sharg of hh work,NA,NA,V39,NA,NA,1.0
Q12 Who makes decisions how to raise kids,Q12 Who makes decisions how to raise kids,NA,NA,V40,NA,NA,1.0
Q13a Final say: choosing weekend activities,Q13a Final say: choosing weekend activities,NA,NA,V41,NA,NA,1.0
Q13b Final say: buying major things for home,Q13b Final say: buying major things for home,NA,NA,V42,NA,NA,1.0
Q16d Difficult to concentrate at work,Q16d Difficult to concentrate at work,NA,NA,V51,NA,NA,1.0
Q21a R worked outside: before R has children,Q21a R worked outside: before R has children,NA,NA,V56,NA,NA,1.0
Q21b R worked outside: kid under school age,Q21b R worked outside: kid under school age,NA,NA,V57,NA,NA,1.0
Q21c R worked outside:youngest kid at school,Q21c R worked outside:youngest kid at school,NA,NA,V58,NA,NA,1.0
Q22a Spouse worked outside:before children,Q22a Spouse worked outside:before children,NA,NA,V60,NA,NA,1.0
Q22b Sp. work outside: kid under school age,Q22b Sp. work outside: kid under school age,NA,NA,V61,NA,NA,1.0
Q22c Sp. work outside: young. kid at school,Q22c Sp. work outside: young. kid at school,NA,NA,V62,NA,NA,1.0
Q2a Women or Men more responsibility for home and family,NA,NA,Q2a Women or Men more responsibility for home and family,NA,NA,v7,1.0
Q2b Mother or father better suited to look after children,NA,NA,Q2b Mother or father better suited to look after children,NA,NA,v8,1.0
Q18b Division of household work: plan social/family activities,NA,NA,Q18b Division of household work: plan social/family activities,NA,NA,v40,1.0
